bollettino,riga,coltura,fase
Bollettino 13 dell'8 maggio 2026 di Parma,2859,SUSINO,ingrossamento frutto
Bollettino 13 dell'8 maggio 2026 di Parma,2872,OLIVO,mignolatura
Bollettino 13 dell'8 maggio 2026 di Parma,2900,VITE,da grappoli separati a bottoni fiorali separati
Bollettino 13 dell'8 maggio 2026 di Parma,2960,ERBA_MEDICA,medica in produzione: sfalcio; medica nuovo impianto: sviluppo vegetativo
Bollettino 13 dell'8 maggio 2026 di Parma,2963,FRUMENTO,da fioritura a inizio maturazione lattea
Bollettino 13 dell'8 maggio 2026 di Parma,2989,GIRASOLE,da emergenza a 2-4 foglie
Bollettino 13 dell'8 maggio 2026 di Parma,3027,PATATA,da emergenza a 3° palco fogliare
Bollettino 13 dell'8 maggio 2026 di Parma,3041,POMODORO_INDUSTRIA,pre-trapianto – inizio fioritura 1° palco
Bollettino 14 del 12 maggio 2026 Modena,844,ALBICOCCO,indurimento nocciolo- inizio maturazione cv.precoci
Bollettino 14 del 12 maggio 2026 Modena,901,CILIEGIO,ingrossamento frutti- maturazione cv.precoci
Bollettino 14 del 12 maggio 2026 Modena,948,KAKI,bottone fiorale-inizio fioritura
Bollettino 14 del 12 maggio 2026 Modena,965,MELO,accrescimento frutti
Bollettino 14 del 12 maggio 2026 Modena,1088,OLIVO,mignolatura
Bollettino 14 del 12 maggio 2026 Modena,1125,PERO,ingrossamento frutti
Bollettino 14 del 12 maggio 2026 Modena,1262,PESCO,ingrossamento frutti
Bollettino 14 del 12 maggio 2026 Modena,1340,SUSINO,ingrossamento frutti
Bollettino 14 del 12 maggio 2026 Modena,1363,VITE,bottoni fiorali separati-inizio fioritura
Bollettino 14 del 12 maggio 2026 Modena,1466,BARBABIETOLA,8 foglie - chiusura interfila
Bollettino 14 del 12 maggio 2026 Modena,1502,COLZA,formazione silique
Bollettino 14 del 12 maggio 2026 Modena,1506,ERBA_MEDICA,Medica in produzione: sfalcio; Medica nuovo impianto: accrescimento
Bollettino 14 del 12 maggio 2026 Modena,1540,FRUMENTO,fine fioritura-maturazione lattea
Bollettino 14 del 12 maggio 2026 Modena,1562,GIRASOLE,2-4 foglie
Bollettino 14 del 12 maggio 2026 Modena,1617,MAIS,4-8 foglie
Bollettino 14 del 12 maggio 2026 Modena,1729,SOIA,emergenza-2/3foglie
Bollettino 14 del 12 maggio 2026 Modena,1772,SORGO,4-6 foglie
Bollettino 14 del 12 maggio 2026 Modena,1824,ANGURIA,accrescimento
Bollettino 14 del 12 maggio 2026 Modena,1867,MELONE,accrescimento
Bollettino 14 del 12 maggio 2026 Modena,1922,POMODORO_INDUSTRIA,pre trapianto-allegagione primo palco - fioritura secondo palco
Bollettino 14 del 12 maggio 2026 Modena,2644,ALBICOCCO,indurimento nocciolo- inizio maturazione cv.precoci
Bollettino 14 del 12 maggio 2026 Modena,2669,CILIEGIO,ingrossamento frutti-inizio maturazione cv.precoci
Bollettino 14 del 12 maggio 2026 Modena,2696,KAKI,bottone fiorale-inizio fioritura
Bollettino 14 del 12 maggio 2026 Modena,2703,MELO,accrescimento frutti
Bollettino 14 del 12 maggio 2026 Modena,2813,OLIVO,mignolatura
Bollettino 14 del 12 maggio 2026 Modena,2850,PERO,ingrossamento frutti
Bollettino 14 del 12 maggio 2026 Modena,2927,PESCO,ingrossamento frutti
Bollettino 14 del 12 maggio 2026 Modena,2971,SUSINO,ingrossamento frutti
Bollettino 14 del 12 maggio 2026 Modena,2991,VITE,grappoli separati – inizio bottoni fiorali separati
Bollettino 14 del 12 maggio 2026 Modena,3057,FRUMENTO,fine fioritura-maturazione lattea
Bollettino 14 del 12 maggio 2026 Modena,3060,BARBABIETOLA,6-8 foglie vere-chiusura interfila
Bollettino 14 del 12 maggio 2026 Modena,3067,ERBA_MEDICA,impianti vecchi sfalcio-impianti nuovi sviluppo vegetativo
Bollettino 14 del 12 maggio 2026 Modena,3070,GIRASOLE,emergenza-2 foglie
Bollettino 14 del 12 maggio 2026 Modena,3076,MAIS,4-8 foglie
Bollettino 14 del 12 maggio 2026 Modena,3092,SOIA,emergenza-prime foglie
Bollettino 14 del 12 maggio 2026 Modena,3134,ANGURIA,accrescimento
Bollettino 14 del 12 maggio 2026 Modena,3151,MELONE,accrescimento-maturazione
Bollettino 14 del 12 maggio 2026 Modena,3180,POMODORO_INDUSTRIA,pre-trapianto-allegagione primo palco fioritura secondo palco
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,854,ACTINIDIA,da fioritura ad allegagione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,877,ALBICOCCO,da indurimento nocciolo a inizio maturazione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,955,CILIEGIO,da accrescimento frutti a maturazione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1013,KAKI,fioritura
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1018,MELO,ingrossamento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1129,NOCE,allegagione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1170,OLIVO,mignolatura
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1175,PERO,accrescimento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1311,PESCO,ingrossamento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1400,SUSINO,ingrossamento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1441,VITE,da racimoli separati a inizio bottoni fiorali separati
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1520,BARBABIETOLA,chiusura fila
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1556,ERBA_MEDICA,Medica in produzione: accrescimento-sfalcio; Medica nuovo impianto: accrescimento
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1583,FRUMENTO,da fioritura a maturazione lattea
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1586,GIRASOLE,2/6 foglie
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1642,MAIS,6/10 foglie
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1747,RISO,pre-semina a pre-emergenza
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1814,SOIA,da emergenza a prime foglie vere
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1890,SORGO,4/6 foglie
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1934,AGLIO,accrescimento bulbilli
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1955,ANGURIA,accrescimento
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,1988,CAROTA,ingrossamento fittone
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,2012,CIPOLLA,Autunnale: accrescimento bulbi/inizio raccolta – Primaverile: 4/6 foglie
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,2097,MELONE,accrescimento
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,2152,PATATA,da 2° palco ad ingrossamento tuberi
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,2246,PISELLO,da sviluppo vegetativo a riempimento baccelli
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,2302,POMODORO_INDUSTRIA,pre-trapianto - allegagione primo palco - fioritura secondo palco
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3025,ACTINIDIA,da fioritura ad allegagione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3039,ALBICOCCO,da indurimento nocciolo a inizio maturazione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3085,CILIEGIO,da accrescimento frutti a maturazione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3108,KAKI,fioritura
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3111,MELO,ingrossamento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3202,NOCE,allegagione
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3219,OLIVO,mignolatura
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3234,PERO,accrescimento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3312,PESCO,ingrossamento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3368,SUSINO,ingrossamento frutti
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3401,VITE,da racimoli separati a inizio bottoni fiorali separati
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3447,BARBABIETOLA,chiusura fila
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3455,MAIS,6/10 foglie
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3495,ANGURIA,accrescimento
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3512,CAROTA,sviluppo vegetativo- ingrossamento fittone
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3518,CIPOLLA,Autunnale: accrescimento bulbi/inizio raccolta – Primaverile: 4/6 foglie
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3551,MELONE,accrescimento
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3570,PATATA,da 2° palco ad ingrossamento tuberi
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3602,PISELLO,da sviluppo vegetativo a riempimento baccelli
Bollettino 14 del 13 maggio 2026 di Bologna e Ferrara,3608,POMODORO_INDUSTRIA,pre-trapianto - allegagione primo palco - fioritura secondo palco
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",873,ACTINIDIA,da fioritura ad ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",895,ALBICOCCO,da indurimento nocciolo ad inizio maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",968,CILIEGIO,da accrescimento frutti a maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1030,KAKI,da bottoni fiorali a fioritura
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1037,MELO,ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1153,NOCE,allegagione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1199,OLIVO,mignolatura
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1220,PERO,accrescimento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1369,PESCO,ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1452,SUSINO,ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1494,VITE,da grappoli separati ad inizio fioritura
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1594,BARBABIETOLA,chiusura fila
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1620,COLZA,formazione silique
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1623,ERBA_MEDICA,Medica in produzione: accrescimento-sfalcio; Medica nuovo impianto: sviluppo vegetativo
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1661,FRUMENTO,da fioritura a maturazione lattea
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1689,GIRASOLE,da cotiledoni a 2-6 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1733,MAIS,6-12 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1847,SOIA,da pre-semina a prime foglie vere
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1933,SORGO,4-6 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",1991,CIPOLLA,Autunnale: da accrescimento bulbi ad inizio raccolta – Primaverile: 4-6 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",2095,FRAGOLA,maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",2105,FRAGOLA,maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",2115,PATATA,da 2° palco fogliare a chiusura fila
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",2209,PISELLO,da sviluppo vegetativo a riempimento baccelli
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",2264,POMODORO_INDUSTRIA,da pre-trapianto a fioritura secondo palco
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3011,ACTINIDIA,da fioritura ad ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3026,ALBICOCCO,da indurimento nocciolo ad inizio maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3072,CILIEGIO,da accrescimento frutti a maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3114,KAKI,da bottoni fiorali a fioritura
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3118,MELO,da allegagione ad ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3213,NOCE,allegagione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3238,OLIVO,mignolatura
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3272,PERO,accrescimento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3376,PESCO,ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3433,SUSINO,ingrossamento frutti
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3461,VITE,da grappoli separati ad inizio fioritura
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3514,BARBABIETOLA,chiusura fila
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3535,ERBA_MEDICA,Medica in produzione: accrescimento-sfalcio; Medica nuovo impianto: sviluppo vegetativo
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3539,FRUMENTO,da fioritura a maturazione lattea
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3549,GIRASOLE,da cotiledoni a 2-6 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3554,MAIS,6-12 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3559,SOIA,da semina a prime foglie vere
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3578,SORGO,4-6 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3618,CIPOLLA,Autunnale: accrescimento bulbi ad inizio raccolta– Primaverile: 4-6 foglie
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3640,FRAGOLA,maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3646,FRAGOLA,maturazione
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3662,PATATA,da 2° palco fogliare a chiusura fila
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3692,PISELLO,da emergenza a sviluppo vegetativo
"Bollettino 14 del 13 maggio 2026 di Forlì-Cesena, Ravenna, Rimini",3698,POMODORO_INDUSTRIA,da pre-trapianto a fioritura secondo palco
Bollettino 14 del 14 maggio 2026 Reggio Emilia,849,MELO,accrescimento frutti
Bollettino 14 del 14 maggio 2026 Reggio Emilia,975,OLIVO,mignolatura
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1003,PERO,ingrossamento frutti
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1144,VITE,bottoni fiorali separati-inizio fioritura
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1245,BARBABIETOLA,8 foglie - chiusura interfila
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1271,COLZA,formazione silique
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1275,ERBA_MEDICA,Medica in produzione: sfalcio; Medica nuovo impianto: accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1309,FRUMENTO,fine fioritura-maturazione lattea
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1316,GIRASOLE,2-4 foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1372,MAIS,4-8 foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1488,SOIA,emergenza-2/3foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1531,SORGO,4-6 foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1584,ANGURIA,accrescimento- allegagione
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1600,MELONE,accrescimento-allegagione
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1609,ANGURIA,accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1653,MELONE,accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,1718,POMODORO_INDUSTRIA,pre trapianto-allegagione primo palco - fioritura secondo palco
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2458,MELO,accrescimento frutti
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2541,OLIVO,mignolatura
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2578,PERO,ingrossamento frutti
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2651,VITE,bottoni fiorali separati-inizio fioritura
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2716,FRUMENTO,fine fioritura-maturazione lattea
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2719,BARBABIETOLA,6-8 foglie vere-chiusura interfila
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2726,ERBA_MEDICA,impianti vecchi sfalcio-impianti nuovi sviluppo vegetativo
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2729,GIRASOLE,emergenza-2 foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2735,MAIS,4-8 foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2741,SOIA,emergenza-prime foglie
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2783,ANGURIA,accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2806,MELONE,accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2813,ANGURIA,accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2830,MELONE,accrescimento
Bollettino 14 del 14 maggio 2026 Reggio Emilia,2859,POMODORO_INDUSTRIA,pre-trapianto-allegagione primo palco fioritura secondo palco
Bollettino 14 del 15 maggio 2026 di Parma,903,ALBICOCCO,indurimento nocciolo
Bollettino 14 del 15 maggio 2026 di Parma,946,CILIEGIO,da accrescimento frutti a inizio maturazione
Bollettino 14 del 15 maggio 2026 di Parma,992,MELO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Parma,1086,PERO,accrescimento frutti
Bollettino 14 del 15 maggio 2026 di Parma,1202,PESCO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Parma,1264,SUSINO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Parma,1292,OLIVO,da mignolatura a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Parma,1308,VITE,da bottoni fiorali separati a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Parma,1415,BARBABIETOLA,da 8 foglie a chiusura tra le file
Bollettino 14 del 15 maggio 2026 di Parma,1472,ERBA_MEDICA,medica in produzione: sfalcio; medica nuovo impianto: sviluppo vegetativo
Bollettino 14 del 15 maggio 2026 di Parma,1491,FRUMENTO,da maturazione lattea a maturazione cerosa
Bollettino 14 del 15 maggio 2026 di Parma,1494,GIRASOLE,da emergenza a 4-6 foglie
Bollettino 14 del 15 maggio 2026 di Parma,1548,MAIS,1-7 foglie
Bollettino 14 del 15 maggio 2026 di Parma,1687,SOIA,da pre-emergenza a prima foglia trifogliata
Bollettino 14 del 15 maggio 2026 di Parma,1752,BASILICO,da pre-emergenza a prime foglie vere
Bollettino 14 del 15 maggio 2026 di Parma,1788,CIPOLLA,da 4-5 foglie a inizio ingrossamento bulbo
Bollettino 14 del 15 maggio 2026 di Parma,1852,POMODORO_INDUSTRIA,pre-trapianto – allegagione 2° palco/fioritura 3° palco
Bollettino 14 del 15 maggio 2026 di Parma,2609,ALBICOCCO,indurimento nocciolo
Bollettino 14 del 15 maggio 2026 di Parma,2632,CILIEGIO,da accrescimento frutti a inizio maturazione
Bollettino 14 del 15 maggio 2026 di Parma,2661,MELO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Parma,2719,PERO,accrescimento frutti
Bollettino 14 del 15 maggio 2026 di Parma,2783,PESCO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Parma,2822,SUSINO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Parma,2834,OLIVO,da mignolatura a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Parma,2862,VITE,da bottoni fiorali separati a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Parma,2928,ERBA_MEDICA,medica in produzione: sfalcio; medica nuovo impianto: sviluppo vegetativo
Bollettino 14 del 15 maggio 2026 di Parma,2931,FRUMENTO,da maturazione lattea a maturazione cerosa
Bollettino 14 del 15 maggio 2026 di Parma,2934,GIRASOLE,da emergenza a 4-6 foglie
Bollettino 14 del 15 maggio 2026 di Parma,2975,PATATA,da 1° palco fogliare a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Parma,2997,POMODORO_INDUSTRIA,pre-trapianto – inizio fioritura 2° palco
Bollettino 14 del 15 maggio 2026 di Piacenza,934,ALBICOCCO,indurimento nocciolo
Bollettino 14 del 15 maggio 2026 di Piacenza,977,CILIEGIO,da accrescimento frutti a maturazione
Bollettino 14 del 15 maggio 2026 di Piacenza,1024,MELO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Piacenza,1115,PERO,accrescimento frutto
Bollettino 14 del 15 maggio 2026 di Piacenza,1232,PESCO,ingrossamento frutto
Bollettino 14 del 15 maggio 2026 di Piacenza,1294,SUSINO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Piacenza,1323,OLIVO,da mignolatura a inizi fioritura
Bollettino 14 del 15 maggio 2026 di Piacenza,1339,VITE,da bottoni fiorali separati a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Piacenza,1448,BARBABIETOLA,da 8 foglie a chiusura fila
Bollettino 14 del 15 maggio 2026 di Piacenza,1501,ERBA_MEDICA,medica in produzione: sfalcio; medica nuovo impianto: sviluppo vegetativo
Bollettino 14 del 15 maggio 2026 di Piacenza,1520,FRUMENTO,da maturazione lattea a maturazione cerosa
Bollettino 14 del 15 maggio 2026 di Piacenza,1523,GIRASOLE,da emergenza a 4/6 foglie
Bollettino 14 del 15 maggio 2026 di Piacenza,1584,MAIS,da 3 a 10 foglie
Bollettino 14 del 15 maggio 2026 di Piacenza,1728,SOIA,da pre-emergenza a prima foglia trifogliata
Bollettino 14 del 15 maggio 2026 di Piacenza,1788,AGLIO,accrescimento bulbilli
Bollettino 14 del 15 maggio 2026 di Piacenza,1798,BASILICO,da pre-emergenza a prime foglie vere
Bollettino 14 del 15 maggio 2026 di Piacenza,1831,CIPOLLA,Autunnale: accrescimento bulbi; Primaverile: 4-6 foglie
Bollettino 14 del 15 maggio 2026 di Piacenza,1893,PISELLO,da sviluppo vegetativo a riempimento baccelli
Bollettino 14 del 15 maggio 2026 di Piacenza,1949,POMODORO_INDUSTRIA,pre-trapianto – allegagione 2° palco/fioritura 3° palco
Bollettino 14 del 15 maggio 2026 di Piacenza,2696,ALBICOCCO,indurimento nocciolo
Bollettino 14 del 15 maggio 2026 di Piacenza,2728,CILIEGIO,da accrescimento frutti a maturazione
Bollettino 14 del 15 maggio 2026 di Piacenza,2745,MELO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Piacenza,2812,PERO,accrescimento frutto
Bollettino 14 del 15 maggio 2026 di Piacenza,2877,PESCO,ingrossamento frutto
Bollettino 14 del 15 maggio 2026 di Piacenza,2917,SUSINO,ingrossamento frutti
Bollettino 14 del 15 maggio 2026 di Piacenza,2929,OLIVO,da mignolatura a inizi fioritura
Bollettino 14 del 15 maggio 2026 di Piacenza,2945,VITE,da bottoni fiorali separati a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Piacenza,3025,ERBA_MEDICA,medica in produzione: sfalcio; medica nuovo impianto: sviluppo vegetativo
Bollettino 14 del 15 maggio 2026 di Piacenza,3028,FRUMENTO,da maturazione lattea a maturazione cerosa
Bollettino 14 del 15 maggio 2026 di Piacenza,3031,GIRASOLE,da emergenza a 4/6 foglie
Bollettino 14 del 15 maggio 2026 di Piacenza,3070,PATATA,da 1° palco fogliare a inizio fioritura
Bollettino 14 del 15 maggio 2026 di Piacenza,3083,POMODORO_INDUSTRIA,pre-trapianto – inizio fioritura 2° palco
Bollettino 15 del 19 maggio 2026 Modena,889,ALBICOCCO,accrescimento-maturazione cv.precoci
Bollettino 15 del 19 maggio 2026 Modena,961,CILIEGIO,invaiatura- maturazione cv.precoci
Bollettino 15 del 19 maggio 2026 Modena,1008,KAKI,inizio fioritura-fioritura
Bollettino 15 del 19 maggio 2026 Modena,1013,MELO,accrescimento frutti
Bollettino 15 del 19 maggio 2026 Modena,1134,OLIVO,mignolatura
Bollettino 15 del 19 maggio 2026 Modena,1162,PERO,ingrossamento frutti
Bollettino 15 del 19 maggio 2026 Modena,1296,PESCO,inizio indurimento nocciolo- ingrossamento frutti
Bollettino 15 del 19 maggio 2026 Modena,1371,SUSINO,ingrossamento frutti
Bollettino 15 del 19 maggio 2026 Modena,1409,VITE,inizio fioritura
Bollettino 15 del 19 maggio 2026 Modena,1512,BARBABIETOLA,chiusura interfila
Bollettino 15 del 19 maggio 2026 Modena,1530,COLZA,formazione silique
Bollettino 15 del 19 maggio 2026 Modena,1534,ERBA_MEDICA,Medica in produzione: sfalcio; Medica nuovo impianto: accrescimento
Bollettino 15 del 19 maggio 2026 Modena,1574,FRUMENTO,maturazione lattea-cerosa
Bollettino 15 del 19 maggio 2026 Modena,1578,GIRASOLE,4-6 foglie
Bollettino 15 del 19 maggio 2026 Modena,1634,MAIS,6-8 foglie
Bollettino 15 del 19 maggio 2026 Modena,1656,SOIA,prime foglie vere a 2° foglia trilobata
Bollettino 15 del 19 maggio 2026 Modena,1689,SORGO,6-8 foglie
Bollettino 15 del 19 maggio 2026 Modena,1751,ANGURIA,accrescimento
Bollettino 15 del 19 maggio 2026 Modena,1785,MELONE,accrescimento
Bollettino 15 del 19 maggio 2026 Modena,1849,POMODORO_INDUSTRIA,pre trapianto-allegagione secondo palco - fioritura terzo paco
Bollettino 15 del 19 maggio 2026 Modena,2600,ALBICOCCO,accrescimento-maturazione cv.precoci
Bollettino 15 del 19 maggio 2026 Modena,2642,CILIEGIO,invaiatura- maturazione cv.precoci
Bollettino 15 del 19 maggio 2026 Modena,2658,KAKI,inizio fioritura-fioritura
Bollettino 15 del 19 maggio 2026 Modena,2674,MELO,accrescimento frutti
Bollettino 15 del 19 maggio 2026 Modena,2765,OLIVO,mignolatura
Bollettino 15 del 19 maggio 2026 Modena,2802,PERO,ingrossamento frutti
